Matrícula   Nombre                         Apellido Paterno                                   Apellido Materno                                   Edad            Sexo                           Posición de Trabajo           Estado          Celular     
300041       Juan                           Molina                                             Perez                                              26              HOMBRE                         Abogado                        DURANGO         52          
300148       Natalia                        Rojas                                              Valencia                                           54              MUJER                          Astronauta                     NUEVO LEON      52          
300300       Lucia                          Mendoza                                            Lopez                                              67              MUJER                          Piloto                         CHIAPAS         52          
301018       Camila                         Jimenez                                            Figueroa                                           69              MUJER                          Asistente Administrativo       GUANAJUATO      52          
301282       Juan                           Lopez                                              Guerrero                                           63              HOMBRE                         Arquitecto                     AGUASCALIENTES  52          
301528       Carlos                         Fernandez                                          Gonzalez                                           48              HOMBRE                         Recepcionista                  ZACATECAS       52          
301752       Cipriano                       Cruz                                               Romero                                             65              HOMBRE                         Médico                        SONORA          52          
302125       Alberto                        Núñez                                            Martinez                                           71              HOMBRE                         Desarrollador de Software      HIDALGO         52          
302154       Verónica                      Torres                                             Valencia                                           35              MUJER                          Abogado                        COLIMA          52          
302363       Daniela                        Garcia                                             Suarez                                             19              MUJER                          Desarrollador de Software      MORELOS         52          
303625       Francisco                      Paredes                                            Paredes                                            35              HOMBRE                         Psicólogo                     CHIAPAS         52          
303788       Valeria                        Romero                                             Silva                                              64              MUJER                          Analista de Datos              SONORA          52          
303902       Luis                           Morales                                            Estrvez                                            45              HOMBRE                         Analista de Marketing          OAXACA          52          
304944       Soponcio                       Martinez                                           Salazar                                            42              HOMBRE                         Recepcionista                  SINALOA         52          
305002       Andres                         Valencia                                           Ortega                                             19              HOMBRE                         Ingeniero de Sistemas          DURANGO         52          
305021       Fernando                       Garcia                                             Torres                                             35              HOMBRE                         Profesor                       NUEVO LEON      52          
306072       Digna                          Gonzalez                                           Estrvez                                            73              MUJER                          Contador                       SONORA          52          
306483       Sofia                          Cruz                                               Martinez                                           19              MUJER                          Analista de Marketing          QUERETARO       52          
307200       Andrea                         Morales                                            Guerrero                                           49              MUJER                          Economista                     SONORA          52          
307441       Maria                          Valencia                                           Rodriguez                                          80              MUJER                          Recepcionista                  MICHOACAN       52          
307487       Miguel                         Romero                                             Cruz                                               28              HOMBRE                         Gerente de Proyectos           YUCATAN         52          
307605       Laura                          Rojas                                              Mendoza                                            19              MUJER                          Traductor                      PUEBLA          52          
